Months_since_IRS,N,NTOTALdead,NTOTALfed,NTOTALexit,Group,Datasource
1.5,33,23,12,22,Lambda_spray,Tchicaya2014
4.5,3,2,2,2,Lambda_spray,Tchicaya2014
9,13,5,9,12,Lambda_spray,Tchicaya2014
1.5,64,59,41,31,Lambda_spray,Tchicaya2014
4.5,4,1,4,4,Lambda_spray,Tchicaya2014
9,37,4,32,29,Lambda_spray,Tchicaya2014
1.5,45,39,22,23,Lambda_spray,Tchicaya2014
4.5,2,0,1,2,Lambda_spray,Tchicaya2014
9,25,10,16,19,Lambda_spray,Tchicaya2014
1.5,818,552,584,654,Lambda_spray,Tchicaya2014
4.5,675,337,481,510,Lambda_spray,Tchicaya2014
9,1102,248,841,790,Lambda_spray,Tchicaya2014
1.5,746,492,462,542,Lambda_spray,Tchicaya2014
4.5,525,268,354,386,Lambda_spray,Tchicaya2014
9,1153,335,806,777,Lambda_spray,Tchicaya2014
1.5,746,415,487,506,Lambda_spray,Tchicaya2014
4.5,596,202,441,399,Lambda_spray,Tchicaya2014
9,1018,173,721,708,Lambda_spray,Tchicaya2014
1.5,1280,721,660,871,Lambda_spray,Tchicaya2014
4.5,1063,300,577,621,Lambda_spray,Tchicaya2014
9,1256,242,782,746,Lambda_spray,Tchicaya2014
